record_id,td_sim_0,td_sim_1,record_atd
31,125.0,,125.0
33,,80.0,80.0
121,25.0,,25.0
122,40.0,,40.0
123,,30.0,30.0
124,,57.0,57.0
216,26.0,,26.0
218,,39.0,39.0
520,62.0,,62.0
522,,44.0,44.0
526,139.0,,139.0
528,,155.0,155.0
672,293.0,,293.0
674,,252.0,252.0
763,477.0,,477.0
765,,419.0,419.0
810,730.0,,730.0
812,,724.0,724.0
1000,18.0,,18.0
1002,,3.0,3.0
1063,23.0,,23.0
1065,,7.0,7.0
1195,73.0,,73.0
1197,,45.0,45.0
1203,53.0,,53.0
1205,,93.0,93.0
1257,112.0,,112.0
1259,,116.0,116.0
1429,108.0,,108.0
1431,,66.0,66.0
1534,5.0,,5.0
1536,,9.0,9.0
1809,138.0,,138.0
1811,,159.0,159.0
1822,,124.0,124.0
1876,21.0,,21.0
1877,124.0,,124.0
1878,,4.0,4.0
1879,,76.0,76.0
2067,45.0,,45.0
2069,,24.0,24.0
2070,16.0,,16.0
2072,,31.0,31.0
2241,336.0,,336.0
2243,,277.0,277.0
2276,110.0,,110.0
2278,,81.0,81.0
2279,74.0,,74.0
2281,,42.0,42.0
2307,15.0,,15.0
2309,,5.0,5.0
2452,32.0,,32.0
2454,,37.0,37.0
average_simulation_TD,123.84615384615384,111.07407407407408,
